Timestamp,Battery (V),Speed km/hr,SOC %,Range (km),Temperature (C),Laptime
2024-07-02 19:24:15,2,74,18,7,75,0:00:01
2024-07-02 19:24:17,40,114,29,50,69,0:00:02
2024-07-02 19:24:18,4,117,50,67,23,0:00:03
2024-07-02 19:24:19,99,41,39,76,9,0:00:04
2024-07-02 19:24:20,21,115,1,64,50,0:00:05
2024-07-02 19:24:21,27,7,84,20,41,0:00:06
2024-07-02 19:24:22,13,10,93,56,45,0:00:07
2024-07-02 19:24:23,86,60,85,35,73,0:00:08
2024-07-02 19:24:24,100,33,70,15,83,0:00:09
2024-07-02 19:24:25,50,89,66,99,16,0:00:10
2024-07-02 19:24:26,78,12,68,7,71,0:00:00
2024-07-02 19:24:27,37,1,18,14,34,0:00:00
2024-07-02 19:24:27,7,69,57,54,90,0:00:01
2024-07-02 19:24:28,91,105,5,37,26,0:00:00
2024-07-02 19:24:28,55,55,86,34,22,0:00:02
2024-07-02 19:24:29,99,117,34,83,49,0:00:03
2024-07-02 19:24:30,2,63,34,13,23,0:00:04
2024-07-02 19:24:31,83,104,11,47,11,0:00:05
2024-07-02 19:24:33,51,77,57,15,38,0:00:06
2024-07-02 19:24:34,75,46,21,12,93,0:00:07
2024-07-02 19:24:35,79,92,95,93,81,0:00:08
2024-07-02 19:24:36,37,80,67,46,90,0:00:09
2024-07-02 19:24:37,77,1,98,83,5,0:00:10
2024-07-02 19:24:38,65,9,59,71,86,0:00:00
2024-07-02 19:24:39,41,9,22,78,7,0:00:01
2024-07-02 19:24:40,43,109,79,23,95,0:00:02
2024-07-02 19:24:41,6,30,66,79,73,0:00:03
2024-07-02 19:24:42,79,53,79,81,37,0:00:04
2024-07-02 19:24:43,68,82,84,49,16,0:00:05
2024-07-02 19:24:44,55,94,93,13,33,0:00:06
2024-07-02 19:24:45,36,120,98,69,0,0:00:07
2024-07-02 19:24:46,37,90,38,75,12,0:00:08
2024-07-02 19:24:47,49,95,4,16,7,0:00:09
2024-07-02 19:24:48,37,91,39,22,72,0:00:10
2024-07-02 19:24:49,41,34,41,11,18,0:00:00
2024-07-02 19:24:51,80,37,64,58,50,0:00:01
2024-07-02 19:24:52,58,104,49,88,14,0:00:02
2024-07-02 19:24:53,49,55,91,18,91,0:00:03
2024-07-02 19:24:54,46,56,62,83,69,0:00:04
2024-07-02 19:24:55,1,71,52,3,25,0:00:05
2024-07-02 19:24:56,11,39,93,40,72,0:00:06
2024-07-02 19:24:57,83,63,44,58,92,0:00:07
2024-07-02 19:24:58,43,74,5,87,3,0:00:08
2024-07-02 19:24:59,75,113,28,57,34,0:00:09
2024-07-02 19:25:00,85,26,75,10,21,0:00:10
2024-07-02 19:25:01,21,14,86,58,93,0:00:00
2024-07-02 19:25:02,72,70,29,25,5,0:00:01
2024-07-02 19:25:03,94,56,71,95,76,0:00:02
2024-07-02 19:25:04,92,111,30,90,70,0:00:03
2024-07-02 19:25:05,59,109,97,20,18,0:00:04
2024-07-02 19:25:06,53,75,25,22,45,0:00:05
2024-07-02 19:25:07,70,42,84,43,53,0:00:06
2024-07-02 19:25:08,21,50,21,23,19,0:00:07
2024-07-02 19:25:10,82,119,21,97,75,0:00:08
2024-07-02 19:25:11,95,26,59,64,55,0:00:09
2024-07-02 19:25:12,6,60,95,5,98,0:00:10
2024-07-02 19:25:13,91,77,75,89,3,0:00:00
2024-07-02 19:25:14,35,78,27,15,95,0:00:01
2024-07-02 19:25:15,33,33,78,49,86,0:00:02
2024-07-02 19:25:26,91,95,40,49,49,0:00:00
2024-07-02 19:25:27,32,114,56,74,76,0:00:00
2024-07-02 19:25:28,33,55,92,41,18,0:00:01
2024-07-02 19:25:29,23,119,47,80,44,0:00:02
2024-07-02 19:25:30,29,103,43,0,87,0:00:03
2024-07-02 19:25:31,39,79,63,97,46,0:00:04
2024-07-02 19:25:32,24,118,24,82,11,0:00:05
2024-07-02 19:25:33,25,80,54,38,38,0:00:06
2024-07-02 19:25:34,58,9,83,43,27,0:00:07
2024-07-02 22:45:17,85,109,23,24,8,0:00:00
2024-07-02 22:45:18,22,18,55,31,56,0:00:00
2024-07-02 22:45:19,9,96,93,17,63,0:00:01
2024-07-02 22:45:20,39,120,21,32,92,0:00:02
2024-07-02 22:45:23,54,52,47,31,34,0:00:00
2024-07-02 22:45:24,54,14,3,42,29,0:00:00
2024-07-02 22:45:25,30,101,21,7,51,0:00:01
2024-07-02 22:45:26,54,71,69,18,94,0:00:02
2024-07-02 22:45:27,26,19,47,85,12,0:00:03
2024-07-02 22:45:28,71,77,7,89,82,0:00:04
2024-07-02 22:45:29,72,58,8,87,38,0:00:05
2024-07-02 22:45:30,74,19,94,30,76,0:00:06
2024-07-02 22:45:31,37,62,18,72,86,0:00:07
2024-07-02 22:45:32,41,9,48,2,30,0:00:08
2024-07-02 22:45:33,86,5,43,74,69,0:00:09
2024-07-02 22:45:35,48,51,74,34,71,0:00:10
2024-07-02 22:45:36,72,48,47,15,22,0:00:00
2024-07-02 22:45:37,3,38,30,38,93,0:00:01
2024-07-02 22:45:38,65,75,20,27,85,0:00:02
2024-07-02 22:45:39,11,28,36,2,33,0:00:03
2024-07-02 22:45:40,2,44,34,58,61,0:00:04
2024-07-02 22:45:41,44,17,35,62,30,0:00:05
2024-07-02 23:08:23,12,92,30,54,55,0:00:00
2024-07-02 23:08:24,12,49,96,50,61,0:00:00
2024-07-02 23:08:25,100,45,3,57,71,0:00:01
2024-07-02 23:08:26,12,36,43,26,21,0:00:02
2024-07-02 23:08:27,68,92,64,15,42,0:00:03
2024-07-02 23:08:28,37,40,46,18,75,0:00:04
2024-07-02 23:13:06,59,69,37,29,4,0:00:00
2024-07-02 23:13:07,3,38,21,82,4,0:00:00
2024-07-02 23:13:08,11,95,64,80,89,0:00:01
2024-07-02 23:13:09,15,77,94,58,50,0:00:02
2024-07-02 23:13:10,82,25,55,95,28,0:00:03
2024-07-02 23:13:11,11,92,90,19,58,0:00:04
2024-07-02 23:13:12,41,31,45,11,41,0:00:05
2024-07-02 23:13:13,3,78,75,64,84,0:00:06
2024-07-02 23:13:14,56,6,40,86,51,0:00:07
2024-07-02 23:13:15,67,92,55,39,69,0:00:08
2024-07-02 23:13:16,43,21,60,52,62,0:00:09
2024-07-02 23:13:17,42,7,56,46,70,0:00:10
2024-07-02 23:13:18,94,62,72,62,23,0:00:00
2024-07-02 23:13:19,38,78,37,66,60,0:00:01
2024-07-02 23:13:20,43,72,78,42,43,0:00:02
2024-07-02 23:13:21,95,112,23,62,21,0:00:03
2024-07-02 23:13:22,99,15,26,69,54,0:00:04
2024-07-02 23:13:24,38,64,28,57,5,0:00:05
2024-07-02 23:13:25,47,49,4,99,46,0:00:06
2024-07-02 23:13:26,1,22,12,65,92,0:00:07
2024-07-02 23:13:27,86,48,27,82,97,0:00:08
2024-07-02 23:13:28,77,104,51,22,9,0:00:09
2024-07-02 23:13:29,38,113,82,75,10,0:00:10
2024-07-02 23:13:30,89,97,97,46,70,0:00:00
2024-07-02 23:13:31,24,82,40,87,40,0:00:01
2024-07-02 23:13:32,82,34,79,53,18,0:00:02
2024-07-02 23:13:33,37,40,29,76,33,0:00:03
2024-07-02 23:13:34,39,27,51,88,42,0:00:04
2024-07-02 23:13:35,38,43,17,76,65,0:00:05
2024-07-02 23:13:36,67,107,0,78,3,0:00:06
2024-07-02 23:13:37,77,4,72,21,54,0:00:07
2024-07-02 23:13:38,96,57,59,65,24,0:00:08
2024-07-02 23:13:39,56,10,93,64,67,0:00:09
2024-07-02 23:13:40,61,23,94,71,22,0:00:10
2024-07-02 23:13:41,78,106,71,36,88,0:00:00
2024-07-02 23:13:42,70,28,27,17,7,0:00:01
2024-07-02 23:13:43,24,105,35,57,88,0:00:02
2024-07-02 23:13:44,50,66,59,67,18,0:00:03
2024-07-02 23:13:45,3,8,20,37,42,0:00:04
2024-07-02 23:13:47,85,39,93,31,2,0:00:05
2024-07-02 23:13:48,47,78,86,0,55,0:00:06
2024-07-02 23:13:49,49,72,79,68,5,0:00:07
2024-07-02 23:13:50,41,84,26,100,84,0:00:08
2024-07-02 23:13:51,37,60,3,10,76,0:00:09
2024-07-02 23:13:52,30,63,43,13,69,0:00:10
2024-07-02 23:13:53,99,66,24,3,24,0:00:00
2024-07-02 23:13:54,45,60,36,75,81,0:00:01
2024-07-02 23:13:55,56,20,86,96,57,0:00:02
2024-07-02 23:13:56,25,48,58,40,70,0:00:03
2024-07-02 23:13:57,24,34,31,79,55,0:00:04
2024-07-02 23:13:58,79,80,100,1,17,0:00:05
2024-07-02 23:13:59,86,85,25,41,34,0:00:06
2024-07-02 23:14:00,44,118,61,49,71,0:00:07
2024-07-02 23:14:01,18,101,38,77,71,0:00:08
2024-07-02 23:14:02,37,59,78,63,70,0:00:09
2024-07-02 23:14:03,1,90,81,36,80,0:00:10
2024-07-02 23:14:04,16,111,100,73,60,0:00:00
2024-07-02 23:14:05,60,83,45,60,69,0:00:01
2024-07-02 23:14:06,5,110,16,90,26,0:00:02
2024-07-02 23:14:07,38,23,70,51,48,0:00:03
2024-07-02 23:14:09,65,71,88,25,73,0:00:04
2024-07-02 23:14:10,43,47,73,32,35,0:00:05
2024-07-02 23:14:11,69,4,54,9,12,0:00:06
2024-07-02 23:14:12,43,39,28,100,41,0:00:07
2024-07-02 23:14:13,2,55,47,40,42,0:00:08
2024-07-02 23:14:14,11,60,82,41,82,0:00:09
2024-07-02 23:14:15,52,30,17,51,85,0:00:10
2024-07-02 23:14:16,6,119,49,23,35,0:00:00
2024-07-02 23:14:17,72,58,86,62,32,0:00:01
2024-07-02 23:14:18,60,21,3,82,56,0:00:02
2024-07-02 23:14:19,8,54,15,14,4,0:00:03
2024-07-02 23:14:20,42,66,87,77,7,0:00:04
2024-07-02 23:14:21,6,6,4,48,40,0:00:05
2024-07-02 23:14:22,23,120,94,39,80,0:00:06
2024-07-02 23:14:23,13,77,34,65,72,0:00:07
2024-07-02 23:14:24,10,8,98,61,15,0:00:08
2024-07-02 23:14:25,100,4,87,26,51,0:00:09
2024-07-02 23:14:26,64,100,10,46,85,0:00:10
2024-07-02 23:14:28,71,98,53,68,60,0:00:00
2024-07-02 23:14:29,36,116,42,37,69,0:00:01
2024-07-02 23:14:30,70,106,46,74,97,0:00:02
2024-07-02 23:14:31,46,102,30,66,66,0:00:03
2024-07-02 23:14:32,7,5,81,3,58,0:00:04
2024-07-02 23:14:33,33,15,23,78,84,0:00:05
2024-07-02 23:14:34,3,84,68,10,83,0:00:06
2024-07-02 23:14:35,18,70,12,90,24,0:00:07
2024-07-02 23:14:36,12,28,64,39,48,0:00:08
2024-07-02 23:14:37,18,10,10,27,79,0:00:09
2024-07-02 23:14:38,70,44,78,78,19,0:00:10
2024-07-02 23:14:39,19,2,47,53,76,0:00:00
2024-07-02 23:14:40,69,46,82,81,86,0:00:01
2024-07-02 23:14:41,85,52,41,85,30,0:00:02
2024-07-02 23:14:42,53,15,19,27,40,0:00:03
2024-07-02 23:14:43,78,52,86,57,24,0:00:04
2024-07-02 23:14:45,74,43,0,77,12,0:00:05
2024-07-02 23:14:46,36,31,39,46,72,0:00:06
2024-07-02 23:14:47,50,35,80,78,44,0:00:07
2024-07-02 23:14:48,100,2,14,0,78,0:00:08
2024-07-02 23:14:49,81,118,1,82,100,0:00:09
2024-07-02 23:14:50,47,49,39,83,97,0:00:10
2024-07-02 23:14:51,44,31,78,70,73,0:00:00
2024-07-02 23:14:52,42,49,1,99,18,0:00:01
2024-07-02 23:14:53,28,75,36,91,70,0:00:02
2024-07-02 23:14:54,38,35,97,79,75,0:00:03
2024-07-02 23:14:55,71,29,95,92,37,0:00:04
2024-07-02 23:14:56,74,51,4,22,14,0:00:05
2024-07-02 23:14:57,30,42,60,29,84,0:00:06
2024-07-02 23:14:58,42,53,55,14,82,0:00:07
2024-07-02 23:14:59,81,16,23,70,15,0:00:08
2024-07-02 23:15:00,64,33,16,32,77,0:00:09
2024-07-02 23:15:01,8,16,8,45,56,0:00:10
2024-07-02 23:15:02,73,9,29,7,36,0:00:00
2024-07-02 23:15:03,15,48,86,42,34,0:00:01
2024-07-02 23:15:04,46,9,25,43,17,0:00:02
2024-07-02 23:15:05,80,116,74,17,37,0:00:03
2024-07-02 23:15:06,6,86,57,17,52,0:00:04
2024-07-02 23:15:07,82,91,89,71,16,0:00:05
2024-07-02 23:15:09,42,68,49,49,14,0:00:06
2024-07-02 23:15:10,53,23,17,31,93,0:00:07
2024-07-02 23:15:14,1,68,89,42,12,0:00:00
2024-07-02 23:15:15,47,13,6,31,22,0:00:00
2024-07-02 23:15:16,25,46,86,13,40,0:00:01
2024-07-02 23:15:17,50,108,45,70,21,0:00:02
2024-07-02 23:15:18,17,96,45,62,36,0:00:03
2024-07-02 23:15:19,54,45,96,73,43,0:00:04
2024-07-02 23:15:46,99,59,29,16,23,0:00:00
2024-07-02 23:15:47,32,104,53,25,36,0:00:00
2024-07-02 23:15:48,83,59,44,52,100,0:00:01
2024-07-02 23:15:49,46,89,2,83,79,0:00:02
2024-07-02 23:15:50,21,54,82,71,4,0:00:03
2024-07-06 18:47:02,18,39,14,51,31,0:00:00
2024-07-06 18:47:03,89,72,84,38,71,0:00:00
2024-07-06 18:47:04,61,47,58,0,57,0:00:01
2024-07-06 18:47:05,80,62,40,89,50,0:00:02
2024-07-06 18:47:06,1,92,61,85,93,0:00:03
2024-07-06 18:47:07,73,61,20,42,39,0:00:04
2024-07-06 18:47:08,16,74,46,8,90,0:00:05
2024-07-06 18:47:09,32,101,35,45,93,0:00:06
2024-07-06 18:47:10,70,5,71,69,32,0:00:07
2024-07-06 18:47:11,75,53,90,72,23,0:00:08
2024-07-06 18:47:12,59,43,1,74,45,0:00:09
2024-07-06 18:47:13,33,4,14,18,100,0:00:10
2024-07-06 18:47:14,6,57,90,63,28,0:00:00
2024-07-06 18:47:15,21,35,58,9,2,0:00:01
2024-07-06 18:47:16,77,70,80,61,19,0:00:02
2024-07-06 18:47:17,55,86,2,88,10,0:00:03
2024-07-06 18:47:18,29,11,17,91,25,0:00:04
2024-07-06 18:47:19,63,31,71,6,79,0:00:05
2024-07-06 18:47:20,61,49,64,47,44,0:00:06
2024-07-06 18:47:21,68,0,57,62,37,0:00:07
2024-07-06 18:47:22,32,45,50,73,69,0:00:08
2024-07-06 18:47:23,27,81,87,46,83,0:00:09
2024-07-06 18:47:24,69,51,36,55,73,0:00:10
2024-07-06 18:47:25,29,62,68,72,87,0:00:00
2024-07-06 18:47:27,87,106,71,52,71,0:00:01
2024-07-06 18:47:28,33,102,42,37,10,0:00:02
2024-07-06 18:47:29,12,82,87,86,44,0:00:03
2024-07-06 18:47:30,92,82,69,96,97,0:00:04
2024-07-06 18:47:31,96,76,3,34,86,0:00:05
2024-07-06 18:47:32,13,77,83,67,24,0:00:06
2024-07-06 18:47:33,56,29,21,90,56,0:00:07
2024-07-06 18:47:34,14,48,20,11,2,0:00:08
2024-07-06 18:47:35,91,102,30,7,49,0:00:09
2024-07-06 18:47:36,29,76,22,27,19,0:00:10
2024-07-06 18:47:37,50,111,69,44,57,0:00:00
2024-07-06 18:47:38,47,11,38,42,55,0:00:01
2024-07-06 18:47:39,37,46,56,54,56,0:00:02
2024-07-06 18:47:40,12,22,11,55,10,0:00:03
2024-07-06 18:47:41,62,50,60,68,7,0:00:04
2024-07-06 18:47:42,53,120,62,87,63,0:00:05
2024-07-06 18:47:43,42,107,0,97,25,0:00:06
2024-07-06 18:47:44,82,104,18,76,53,0:00:07
2024-07-06 18:47:45,70,117,10,96,99,0:00:08
2024-07-06 18:47:46,38,79,9,59,48,0:00:09
2024-07-06 18:47:47,40,50,87,67,100,0:00:10
2024-07-06 18:47:48,71,51,14,54,28,0:00:00
2024-07-06 18:47:49,75,64,8,42,98,0:00:01
2024-07-06 18:47:50,64,4,31,97,20,0:00:02
2024-07-06 18:47:51,27,35,20,66,6,0:00:03
2024-07-06 18:47:52,99,47,72,21,71,0:00:04
2024-07-06 18:47:54,69,27,56,5,33,0:00:05
2024-07-06 18:47:55,7,13,62,85,17,0:00:06
2024-07-06 18:47:56,54,52,58,86,58,0:00:07
2024-07-06 18:47:57,31,10,69,43,12,0:00:08
2024-07-06 18:47:58,86,7,89,83,8,0:00:09
2024-07-06 18:47:59,25,113,80,84,61,0:00:10
2024-07-06 18:48:00,76,40,20,95,58,0:00:00
2024-07-06 18:48:01,94,75,93,21,80,0:00:01
2024-07-06 18:48:02,57,100,4,35,65,0:00:02
2024-07-06 18:48:03,67,113,30,97,41,0:00:03
2024-07-06 18:48:04,28,105,63,47,21,0:00:04
2024-07-06 18:48:05,66,74,67,90,28,0:00:05
2024-07-06 18:48:06,16,35,36,5,83,0:00:06
2024-07-06 18:48:07,78,25,19,80,92,0:00:07
2024-07-06 18:48:08,19,39,74,34,88,0:00:08
2024-07-06 18:48:09,70,12,81,64,25,0:00:09
2024-07-06 18:48:10,65,89,63,94,64,0:00:10
2024-07-06 18:48:11,32,106,54,96,0,0:00:00
2024-07-06 18:48:12,8,25,34,34,76,0:00:01
2024-07-06 18:48:13,13,87,67,59,76,0:00:02
2024-07-06 18:48:14,49,111,38,30,92,0:00:03
2024-07-06 18:48:15,16,61,8,90,26,0:00:04
2024-07-06 18:48:16,8,86,15,29,77,0:00:05
2024-07-06 18:48:17,38,1,26,79,36,0:00:06
2024-07-06 18:48:18,44,62,32,93,46,0:00:07
2024-07-06 18:48:19,85,0,52,2,49,0:00:08
2024-07-06 18:48:20,85,66,89,33,80,0:00:09
2024-07-06 18:48:22,73,50,9,30,81,0:00:10
2024-07-06 18:48:23,15,75,2,53,33,0:00:00
2024-07-06 18:48:24,21,63,87,7,32,0:00:01
2024-07-06 18:48:25,48,81,7,68,83,0:00:02
2024-07-06 18:48:26,3,15,19,68,6,0:00:03
2024-07-06 18:48:27,36,42,48,70,72,0:00:04
2024-07-06 18:48:28,73,90,43,42,15,0:00:05
2024-07-06 18:48:29,66,115,49,76,56,0:00:06
2024-07-06 18:48:30,55,18,84,77,68,0:00:07
2024-07-06 18:48:31,24,15,64,49,43,0:00:08
2024-07-06 18:48:32,67,4,95,21,41,0:00:09
2024-07-06 18:48:33,88,94,10,31,15,0:00:10
2024-07-06 18:48:34,57,87,23,43,44,0:00:00
2024-07-06 18:48:35,14,40,23,93,40,0:00:01
2024-07-06 18:48:36,90,53,87,16,35,0:00:02
2024-07-06 18:48:37,82,84,50,55,22,0:00:03
2024-07-06 18:48:38,70,25,27,7,30,0:00:04
2024-07-06 18:48:39,66,67,97,34,8,0:00:05
2024-07-06 18:48:40,14,73,9,81,38,0:00:06
2024-07-06 18:48:41,25,20,67,69,30,0:00:07
2024-07-06 18:48:42,95,50,71,1,45,0:00:08
2024-07-06 18:48:43,34,8,64,94,20,0:00:09
2024-07-06 18:48:44,7,78,45,87,12,0:00:10
2024-07-06 18:48:45,71,49,1,43,15,0:00:00
2024-07-06 18:48:46,68,117,96,63,80,0:00:01
2024-07-06 18:48:47,72,40,56,98,71,0:00:02
2024-07-06 18:48:48,13,118,90,57,15,0:00:03
2024-07-06 18:48:49,66,62,54,15,93,0:00:04
2024-07-06 18:48:51,100,103,33,61,57,0:00:05
2024-07-06 18:48:52,57,44,22,62,96,0:00:06
2024-07-06 18:48:53,77,103,21,70,98,0:00:07
2024-07-06 18:48:54,17,25,19,6,42,0:00:08
2024-07-06 18:48:55,42,7,2,75,66,0:00:09
2024-07-06 18:48:56,0,64,82,44,56,0:00:10
2024-07-06 18:48:57,100,108,10,53,55,0:00:00
2024-07-06 18:48:58,78,24,39,42,76,0:00:01
2024-07-06 18:48:59,92,63,21,83,29,0:00:02
2024-07-06 18:49:00,89,80,16,100,72,0:00:03
2024-07-06 18:49:01,62,93,87,96,95,0:00:04
2024-07-06 18:49:02,38,94,79,86,98,0:00:05
2024-07-06 18:49:03,28,37,52,32,33,0:00:06
2024-07-06 18:49:04,49,107,83,90,64,0:00:07
2024-07-06 18:49:05,15,93,94,93,97,0:00:08
2024-07-06 18:49:06,40,28,5,91,22,0:00:09
2024-07-06 18:49:07,61,110,64,38,56,0:00:10
2024-07-06 18:49:08,78,68,42,98,44,0:00:00
2024-07-06 18:49:09,66,95,49,12,84,0:00:01
2024-07-06 18:49:10,35,19,60,15,1,0:00:02
2024-07-06 18:49:11,70,28,79,88,59,0:00:03
2024-07-06 18:49:12,64,69,19,66,61,0:00:04
2024-07-06 18:49:13,25,64,91,4,15,0:00:05
2024-07-06 18:49:14,46,7,43,53,85,0:00:06
2024-07-06 18:49:36,42,29,26,89,85,0:00:00
2024-07-06 18:49:37,90,87,94,81,54,0:00:00
2024-07-06 18:49:38,24,39,9,19,38,0:00:01
2024-07-06 18:49:39,36,23,16,79,47,0:00:02
2024-07-06 18:49:40,79,84,52,0,85,0:00:03
2024-07-06 18:49:41,0,100,9,85,51,0:00:04
2024-07-06 18:49:42,86,119,49,8,6,0:00:05
2024-07-06 18:49:43,36,103,65,30,1,0:00:06
2024-07-06 18:49:44,36,72,71,52,83,0:00:07
2024-07-06 18:49:45,68,34,88,46,76,0:00:08
2024-07-06 18:49:46,61,34,9,72,29,0:00:09
2024-07-06 18:49:47,11,115,29,29,86,0:00:10
2024-07-06 18:49:48,19,70,20,15,58,0:00:00
2024-07-06 18:49:49,7,80,76,60,21,0:00:01
2024-07-06 18:49:50,34,117,92,20,39,0:00:02
2024-07-06 18:49:51,17,73,90,87,10,0:00:03
2024-07-06 18:49:52,45,88,57,7,91,0:00:04
2024-07-06 18:49:53,35,16,79,59,51,0:00:05
2024-07-06 18:49:54,93,30,40,83,6,0:00:06
2024-07-06 18:49:55,50,85,93,38,64,0:00:07
2024-07-06 18:49:56,19,108,29,84,8,0:00:08
2024-07-06 18:49:57,23,78,17,78,87,0:00:09
2024-07-06 18:49:59,48,89,57,6,63,0:00:10
2024-07-06 18:50:00,99,78,60,68,35,0:00:00
2024-07-06 18:50:01,66,4,50,23,70,0:00:01
2024-07-06 18:50:02,87,20,12,38,97,0:00:02
2024-07-06 18:50:03,31,115,27,25,34,0:00:03
2024-07-06 18:50:04,78,89,65,80,75,0:00:04
2024-07-06 18:50:05,75,39,49,79,23,0:00:05
2024-07-06 18:50:06,67,58,11,58,50,0:00:06
2024-07-06 18:50:07,37,66,75,45,67,0:00:07
2024-07-06 18:50:08,94,119,92,11,87,0:00:08
2024-07-06 18:50:09,61,6,18,18,2,0:00:09
2024-07-06 18:50:10,100,115,80,13,45,0:00:10
2024-07-06 18:50:11,50,93,8,35,73,0:00:00
2024-07-06 18:50:12,44,60,85,60,71,0:00:01
2024-07-06 18:50:13,73,22,29,57,94,0:00:02
2024-07-06 18:50:14,53,54,31,86,24,0:00:03
2024-07-06 18:50:15,20,10,8,46,3,0:00:04
2024-07-06 18:50:16,42,79,67,91,31,0:00:05
2024-07-06 18:50:17,60,24,30,34,59,0:00:06
2024-07-06 18:50:18,70,27,68,80,19,0:00:07
2024-07-06 18:50:19,36,25,89,62,28,0:00:08
2024-07-06 18:50:20,0,106,93,57,16,0:00:09
2024-07-06 18:50:21,8,65,27,44,46,0:00:10
2024-07-06 18:50:22,0,94,87,27,98,0:00:00
2024-07-06 18:50:23,76,91,71,36,49,0:00:01
2024-07-06 18:50:24,3,89,61,41,73,0:00:02
2024-07-06 18:50:26,36,76,33,13,67,0:00:03
2024-07-06 18:50:27,88,87,28,20,96,0:00:04
2024-07-06 18:50:28,90,41,88,55,55,0:00:05
2024-07-06 18:50:29,99,48,36,44,21,0:00:06
2024-07-06 18:50:30,14,27,56,13,25,0:00:07
2024-07-06 18:50:31,47,104,58,73,48,0:00:08
2024-07-06 18:50:32,40,68,23,58,11,0:00:09
2024-07-06 18:50:33,65,28,51,64,82,0:00:10
2024-07-06 18:50:34,92,113,81,70,30,0:00:00
2024-07-06 18:50:35,10,116,70,21,79,0:00:01
2024-07-06 18:50:36,57,1,6,20,82,0:00:02
2024-07-06 18:50:37,69,57,9,98,67,0:00:03
2024-07-06 18:50:38,14,55,15,99,20,0:00:04
2024-07-06 18:50:39,56,30,57,38,61,0:00:05
2024-07-06 18:51:29,94,40,34,45,90,0:00:00
2024-07-06 18:51:30,90,26,44,46,16,0:00:00
2024-07-06 18:51:31,88,54,61,18,59,0:00:01
